,asset,assetAmount,value,date
306,ETH-A,506365.0,867641296.64,2022-07-30-00-00-00-000000
307,ETH-B,85896.0,147180518.67,2022-07-30-00-00-00-000000
308,ETH-C,925030.0,1585011434.71,2022-07-30-00-00-00-000000
309,WSTETH-A,131360.0,236786018.17,2022-07-30-00-00-00-000000
310,WSTETH-B,101820.0,183537415.43,2022-07-30-00-00-00-000000
311,USDC-A,227112537.0,227112536.98,2022-07-30-00-00-00-000000
312,WBTC-A,33862.0,828956456.3,2022-07-30-00-00-00-000000
313,WBTC-B,629.0,15402937.79,2022-07-30-00-00-00-000000
314,WBTC-C,5578.0,136558896.87,2022-07-30-00-00-00-000000
315,MANA-A,68345084.0,71197817.16,2022-07-30-00-00-00-000000
316,USDP-A,6237220.0,6237219.84,2022-07-30-00-00-00-000000
317,LINK-A,880933.0,6988445.11,2022-07-30-00-00-00-000000
318,YFI-A,58.0,670793.53,2022-07-30-00-00-00-000000
319,GUSD-A,392094.0,392093.89,2022-07-30-00-00-00-000000
320,UNI-A,77966.0,690449.12,2022-07-30-00-00-00-000000
321,RENBTC-A,353.0,8646371.45,2022-07-30-00-00-00-000000
322,MATIC-A,130864568.0,124846932.88,2022-07-30-00-00-00-000000
323,UNIV2DAIETH-A,1730.0,511845.98,2022-07-30-00-00-00-000000
324,UNIV2WBTCETH-A,0.00025942,778920.29,2022-07-30-00-00-00-000000
325,UNIV2USDCETH-A,0.03981832,6696918.82,2022-07-30-00-00-00-000000
326,UNIV2DAIUSDC-A,77.59017739,174767665.93,2022-07-30-00-00-00-000000
327,UNIV2WBTCDAI-A,0.00024175,19819.81,2022-07-30-00-00-00-000000
328,GUNIV3DAIUSDC1-A,751006.0,766376342.59,2022-07-30-00-00-00-000000
329,GUNIV3DAIUSDC2-A,5052907.0,1021845184.77,2022-07-30-00-00-00-000000
330,CRVV1ETHSTETH-A,443.94251062,775372.54,2022-07-30-00-00-00-000000
331,RWA001-A,1.0,15913500.0,2022-07-30-00-00-00-000000
332,RWA002-A,1.0,22495725.0,2022-07-30-00-00-00-000000
333,RWA003-A,1.0,2359560.0,2022-07-30-00-00-00-000000
334,RWA004-A,1.0,8815730.0,2022-07-30-00-00-00-000000
335,RWA005-A,1.0,17199394.0,2022-07-30-00-00-00-000000
336,RWA006-A,0.0,0.0,2022-07-30-00-00-00-000000
337,USDC,3534806712.0,3532265185.974072,2022-07-30-00-00-00-000000
338,USDP,457849688.0,461054635.8159999,2022-07-30-00-00-00-000000
339,GUSD,56.0,55.484128,2022-07-30-00-00-00-000000
340,ETH-A,506357.0,854663332.47,2022-07-31-00-00-00-000000
341,ETH-B,85896.0,144981323.61,2022-07-31-00-00-00-000000
342,ETH-C,923257.0,1558335725.08,2022-07-31-00-00-00-000000
343,WSTETH-A,131360.0,233197445.79,2022-07-31-00-00-00-000000
344,WSTETH-B,100829.0,178997416.14,2022-07-31-00-00-00-000000
345,USDC-A,227112537.0,227112536.98,2022-07-31-00-00-00-000000
346,WBTC-A,33862.0,798720437.06,2022-07-31-00-00-00-000000
347,WBTC-B,629.0,14841294.06,2022-07-31-00-00-00-000000
348,WBTC-C,5597.0,132025411.46,2022-07-31-00-00-00-000000
349,MANA-A,68345084.0,69103790.5,2022-07-31-00-00-00-000000
350,USDP-A,6237220.0,6237219.84,2022-07-31-00-00-00-000000
351,LINK-A,880933.0,6926964.76,2022-07-31-00-00-00-000000
352,YFI-A,51.0,600615.54,2022-07-31-00-00-00-000000
353,GUSD-A,392094.0,392093.89,2022-07-31-00-00-00-000000
354,UNI-A,77966.0,683448.15,2022-07-31-00-00-00-000000
355,RENBTC-A,353.0,8331095.21,2022-07-31-00-00-00-000000
356,MATIC-A,130864568.0,126577052.23,2022-07-31-00-00-00-000000
357,UNIV2DAIETH-A,1730.0,511845.98,2022-07-31-00-00-00-000000
358,UNIV2WBTCETH-A,0.00025942,778920.29,2022-07-31-00-00-00-000000
359,UNIV2USDCETH-A,0.03981832,6667790.91,2022-07-31-00-00-00-000000
360,UNIV2DAIUSDC-A,77.59017739,174767773.28,2022-07-31-00-00-00-000000
361,UNIV2WBTCDAI-A,0.00024175,19819.81,2022-07-31-00-00-00-000000
362,GUNIV3DAIUSDC1-A,741975.0,757159830.76,2022-07-31-00-00-00-000000
363,GUNIV3DAIUSDC2-A,5052907.0,1021845184.77,2022-07-31-00-00-00-000000
364,CRVV1ETHSTETH-A,443.94251062,766433.5,2022-07-31-00-00-00-000000
365,RWA001-A,1.0,15913500.0,2022-07-31-00-00-00-000000
366,RWA002-A,1.0,22495725.0,2022-07-31-00-00-00-000000
367,RWA003-A,1.0,2359560.0,2022-07-31-00-00-00-000000
368,RWA004-A,1.0,8815730.0,2022-07-31-00-00-00-000000
369,RWA005-A,1.0,17199394.0,2022-07-31-00-00-00-000000
370,RWA006-A,0.0,0.0,2022-07-31-00-00-00-000000
371,USDC,3526491119.0,3526082046.030196,2022-07-31-00-00-00-000000
372,USDP,457830600.0,460577583.6,2022-07-31-00-00-00-000000
